indicator,date,rate
open,2021-05-14 16:01:00,21.24
high,2021-05-14 16:01:00,21.24
low,2021-05-14 16:01:00,21.24
close,2021-05-14 16:01:00,21.24
open,2021-05-14 16:00:00,21.288
high,2021-05-14 16:00:00,21.31
low,2021-05-14 16:00:00,21.19
close,2021-05-14 16:00:00,21.24
open,2021-05-14 15:59:00,21.31
high,2021-05-14 15:59:00,21.32
low,2021-05-14 15:59:00,21.28
close,2021-05-14 15:59:00,21.285
open,2021-05-14 15:58:00,21.31
high,2021-05-14 15:58:00,21.32
low,2021-05-14 15:58:00,21.31
close,2021-05-14 15:58:00,21.31
open,2021-05-14 15:57:00,21.31
high,2021-05-14 15:57:00,21.32
low,2021-05-14 15:57:00,21.31
close,2021-05-14 15:57:00,21.315
open,2021-05-14 15:56:00,21.325
high,2021-05-14 15:56:00,21.325
low,2021-05-14 15:56:00,21.305
close,2021-05-14 15:56:00,21.315
open,2021-05-14 15:55:00,21.33
high,2021-05-14 15:55:00,21.33
low,2021-05-14 15:55:00,21.315
close,2021-05-14 15:55:00,21.325
open,2021-05-14 15:54:00,21.325
high,2021-05-14 15:54:00,21.327
low,2021-05-14 15:54:00,21.32
close,2021-05-14 15:54:00,21.32
open,2021-05-14 15:53:00,21.325
high,2021-05-14 15:53:00,21.325
low,2021-05-14 15:53:00,21.32
close,2021-05-14 15:53:00,21.32
open,2021-05-14 15:52:00,21.32
high,2021-05-14 15:52:00,21.325
low,2021-05-14 15:52:00,21.315
close,2021-05-14 15:52:00,21.325
open,2021-05-14 15:51:00,21.31
high,2021-05-14 15:51:00,21.33
low,2021-05-14 15:51:00,21.31
close,2021-05-14 15:51:00,21.32
open,2021-05-14 15:50:00,21.305
high,2021-05-14 15:50:00,21.31
low,2021-05-14 15:50:00,21.3
close,2021-05-14 15:50:00,21.31
open,2021-05-14 15:49:00,21.31
high,2021-05-14 15:49:00,21.31
low,2021-05-14 15:49:00,21.305
close,2021-05-14 15:49:00,21.305
open,2021-05-14 15:48:00,21.3
high,2021-05-14 15:48:00,21.315
low,2021-05-14 15:48:00,21.3
close,2021-05-14 15:48:00,21.315
open,2021-05-14 15:47:00,21.3
high,2021-05-14 15:47:00,21.315
low,2021-05-14 15:47:00,21.3
close,2021-05-14 15:47:00,21.31
open,2021-05-14 15:46:00,21.31
high,2021-05-14 15:46:00,21.315
low,2021-05-14 15:46:00,21.3
close,2021-05-14 15:46:00,21.3
open,2021-05-14 15:45:00,21.295
high,2021-05-14 15:45:00,21.31
low,2021-05-14 15:45:00,21.29
close,2021-05-14 15:45:00,21.31
open,2021-05-14 15:44:00,21.265
high,2021-05-14 15:44:00,21.29
low,2021-05-14 15:44:00,21.265
close,2021-05-14 15:44:00,21.29
open,2021-05-14 15:43:00,21.275
high,2021-05-14 15:43:00,21.28
low,2021-05-14 15:43:00,21.26
close,2021-05-14 15:43:00,21.26
open,2021-05-14 15:42:00,21.275
high,2021-05-14 15:42:00,21.28
low,2021-05-14 15:42:00,21.27
close,2021-05-14 15:42:00,21.275
open,2021-05-14 15:41:00,21.275
high,2021-05-14 15:41:00,21.28
low,2021-05-14 15:41:00,21.275
close,2021-05-14 15:41:00,21.28
open,2021-05-14 15:40:00,21.275
high,2021-05-14 15:40:00,21.28
low,2021-05-14 15:40:00,21.275
close,2021-05-14 15:40:00,21.28
open,2021-05-14 15:39:00,21.2724
high,2021-05-14 15:39:00,21.28
low,2021-05-14 15:39:00,21.2724
close,2021-05-14 15:39:00,21.28
open,2021-05-14 15:38:00,21.265
high,2021-05-14 15:38:00,21.28
low,2021-05-14 15:38:00,21.26
close,2021-05-14 15:38:00,21.275
open,2021-05-14 15:37:00,21.285
high,2021-05-14 15:37:00,21.285
low,2021-05-14 15:37:00,21.26
close,2021-05-14 15:37:00,21.26
open,2021-05-14 15:36:00,21.28
high,2021-05-14 15:36:00,21.285
low,2021-05-14 15:36:00,21.28
close,2021-05-14 15:36:00,21.28
open,2021-05-14 15:35:00,21.28
high,2021-05-14 15:35:00,21.29
low,2021-05-14 15:35:00,21.28
close,2021-05-14 15:35:00,21.285
open,2021-05-14 15:34:00,21.285
high,2021-05-14 15:34:00,21.285
low,2021-05-14 15:34:00,21.285
close,2021-05-14 15:34:00,21.285
open,2021-05-14 15:33:00,21.29
high,2021-05-14 15:33:00,21.29
low,2021-05-14 15:33:00,21.285
close,2021-05-14 15:33:00,21.29
open,2021-05-14 15:32:00,21.31
high,2021-05-14 15:32:00,21.31
low,2021-05-14 15:32:00,21.285
close,2021-05-14 15:32:00,21.285
open,2021-05-14 15:31:00,21.3
high,2021-05-14 15:31:00,21.31
low,2021-05-14 15:31:00,21.3
close,2021-05-14 15:31:00,21.305
open,2021-05-14 15:30:00,21.28
high,2021-05-14 15:30:00,21.3
low,2021-05-14 15:30:00,21.28
close,2021-05-14 15:30:00,21.295
open,2021-05-14 15:29:00,21.285
high,2021-05-14 15:29:00,21.285
low,2021-05-14 15:29:00,21.27
close,2021-05-14 15:29:00,21.275
open,2021-05-14 15:28:00,21.29
high,2021-05-14 15:28:00,21.295
low,2021-05-14 15:28:00,21.275
close,2021-05-14 15:28:00,21.28
open,2021-05-14 15:27:00,21.29
high,2021-05-14 15:27:00,21.295
low,2021-05-14 15:27:00,21.29
close,2021-05-14 15:27:00,21.295
open,2021-05-14 15:26:00,21.29
high,2021-05-14 15:26:00,21.3
low,2021-05-14 15:26:00,21.29
close,2021-05-14 15:26:00,21.3
open,2021-05-14 15:25:00,21.29
high,2021-05-14 15:25:00,21.3
low,2021-05-14 15:25:00,21.285
close,2021-05-14 15:25:00,21.299
open,2021-05-14 15:24:00,21.3
high,2021-05-14 15:24:00,21.3
low,2021-05-14 15:24:00,21.29
close,2021-05-14 15:24:00,21.29
open,2021-05-14 15:23:00,21.29
high,2021-05-14 15:23:00,21.3
low,2021-05-14 15:23:00,21.29
close,2021-05-14 15:23:00,21.3
open,2021-05-14 15:22:00,21.3
high,2021-05-14 15:22:00,21.3
low,2021-05-14 15:22:00,21.295
close,2021-05-14 15:22:00,21.295
open,2021-05-14 15:21:00,21.3
high,2021-05-14 15:21:00,21.3
low,2021-05-14 15:21:00,21.29
close,2021-05-14 15:21:00,21.29
open,2021-05-14 15:20:00,21.3
high,2021-05-14 15:20:00,21.3
low,2021-05-14 15:20:00,21.3
close,2021-05-14 15:20:00,21.3
open,2021-05-14 15:19:00,21.305
high,2021-05-14 15:19:00,21.305
low,2021-05-14 15:19:00,21.3
close,2021-05-14 15:19:00,21.3
open,2021-05-14 15:18:00,21.285
high,2021-05-14 15:18:00,21.3
low,2021-05-14 15:18:00,21.285
close,2021-05-14 15:18:00,21.3
open,2021-05-14 15:17:00,21.275
high,2021-05-14 15:17:00,21.29
low,2021-05-14 15:17:00,21.275
close,2021-05-14 15:17:00,21.285
open,2021-05-14 15:16:00,21.275
high,2021-05-14 15:16:00,21.28
low,2021-05-14 15:16:00,21.275
close,2021-05-14 15:16:00,21.28
open,2021-05-14 15:15:00,21.275
high,2021-05-14 15:15:00,21.2781
low,2021-05-14 15:15:00,21.275
close,2021-05-14 15:15:00,21.275
open,2021-05-14 15:14:00,21.27
high,2021-05-14 15:14:00,21.28
low,2021-05-14 15:14:00,21.265
close,2021-05-14 15:14:00,21.275
open,2021-05-14 15:13:00,21.275
high,2021-05-14 15:13:00,21.275
low,2021-05-14 15:13:00,21.275
close,2021-05-14 15:13:00,21.275
open,2021-05-14 15:12:00,21.295
high,2021-05-14 15:12:00,21.295
low,2021-05-14 15:12:00,21.285
close,2021-05-14 15:12:00,21.285
